"generator","source_type","grade","layout_mode","transformer_count","transformers"
"120px-Carpentra","photo","A","",2,"GlitchWarpTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=7,size=6)"
"125_Blut","photo","A","",2,"HalftoneTransformer(size=2) | ThermalImagingTransformer(thermal=True)"
"1280px-Amphibal","photo","A","",4,"ChromaticAberrationTransformer(angle=165.80,edge_fade=1,shift=16.10) | ColormapTransformer(map=hot) | HalftoneTransformer(size=2) | KaleidoscopeTransformer(cx_off=-0.05,cy_off=0.19,segments=8)"
"1280px-Binari","photo","B","",1,"FlipWilsonTransformer(keep=bottom_right,narrow=0.23)"
"1280px-Despotis","photo","C","",2,"DataMoshTransformer(intensity=0.01) | KaleidoscopeTransformer(cx_off=-0.13,cy_off=-0.20,segments=8)"
"1280px-Engel_-_","photo","A","",3,"ChromaticAberrationTransformer(angle=193.20,edge_fade=1,shift=16.50) | OilPaintingTransformer(dyn_ratio=8,size=6) | WheelTransformer(blend=normal,copies=3)"
"1280px-Gracieus","photo","F","",4,"MeltMorphTransformer(intensity=0.50) | OilPaintingTransformer(dyn_ratio=1,size=8) | PosterizationTransformer(levels=4) | StippleTransformer(bg=black,dot_radius=6,jitter=1,spacing=13)"
"1280px-Heilbad_","photo","A","",3,"HalftoneTransformer(size=2) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=91)"
"1280px-Ocean_Li","photo","B","",2,"FlipWilsonTransformer(keep=top_right,narrow=0.44) | WheelTransformer(blend=add,copies=4)"
"1280px-Palocci_","photo","A","",2,"DataMoshTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=2,size=6)"
"1280px-Pincehel","photo","A","",1,"ColormapTransformer(map=winter)"
"1280px-Rolls-Ro","photo","A","",1,"VoronoiTransformer(edge_blend=1,num_points=61)"
"1280px-SAM","photo","C","",3,"ColormapTransformer(map=cool) | GlitchWarpTransformer(intensity=0.01) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"1280px-St._Leon","photo","A","",1,"FluidWarpTransformer(alpha=2.28,sigma=6.11)"
"1280px-The_Galv","photo","A","",3,"HalftoneTransformer(size=2) | PixelSortTransformer(direction=rows,high=0.83,low=0.30,sort_key=green) | VoronoiTransformer(edge_blend=1,num_points=283)"
"1280px-The_Lamp","photo","C","",1,"FisheyeTransformer(shape=circle,strength=0.54,zoom=0.87)"
"1280px-Traité_C","photo","A","",1,"RadialWarpTransformer(radius=0.25,strength=72.42501745833165,style=pull)"
"1280px-Translit","photo","C","",2,"FlipWilsonTransformer(keep=top,narrow=0.48) | SwirlWarpTransformer(strength=1.50)"
"1911_Oldsmobile","photo","A","",2,"DataMoshTransformer(intensity=0.02) | KaleidoscopeTransformer(cx_off=0.08,cy_off=0.11,segments=8)"
"1978_Col","photo","B","",2,"ChromaticAberrationTransformer(angle=252.20,edge_fade=1,shift=9.90) | GlitchWarpTransformer(intensity=0.01)"
"20100926","photo","A","",1,"WheelTransformer(blend=normal,copies=3)"
"201103_VirgoGCM_andreo900","photo","C","",1,"VoronoiTransformer(edge_blend=1,num_points=243)"
"20130525PlanetsKosIsland","photo","A","",2,"FluidWarpTransformer(alpha=5.80,sigma=1.07) | PosterizationTransformer(levels=4)"
"20151221LulworthCove-reKotsiopoulos1024","photo","B","",2,"ColormapTransformer(map=summer) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"2016_07_20_Uplnkova_noc_Brno_PanoHDR_1024px","photo","A","",2,"DataMoshTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=2,size=7)"
"2023-05-","photo","A","",3,"ColormapTransformer(map=hsv) | GlitchWarpTransformer(intensity=0.01) | HalftoneTransformer(size=2)"
"2023-08-","photo","C","",4,"ColormapTransformer(map=hsv) | HalftoneTransformer(size=2) | KaleidoscopeTransformer(cx_off=0.11,cy_off=0.08,segments=8) | RadialWarpTransformer(radius=0.25,strength=97.92391289190473,style=push)"
"20230518_Cather","photo","A","",3,"OilPaintingTransformer(dyn_ratio=8,size=5) | WatercolorTransformer(scale=0.85,style=monet) | WheelTransformer(blend=lighter,copies=5)"
"2026-02-","photo","A","",3,"FlipWilsonTransformer(keep=bottom,narrow=0.42) | HalftoneTransformer(size=2) | SwirlWarpTransformer(strength=1.50)"
"22466-22467anaVantuyne900","photo","A","",4,"GlitchWarpTransformer(intensity=0.01) | PixelSortTransformer(direction=cols,high=0.74,low=0.28,sort_key=blue) | StippleTransformer(bg=black,dot_radius=5,jitter=1,spacing=19) | VoronoiTransformer(edge_blend=1,num_points=223)"
"235794main_GPN-2006-000025_1024x865","photo","A","",4,"FisheyeTransformer(shape=circle,strength=0.47,zoom=0.96) | PixelSortTransformer(direction=cols,high=0.75,low=0.28,sort_key=brightness) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"330px-Around_Br","photo","A","",3,"OilPaintingTransformer(dyn_ratio=6,size=7) | VoronoiTransformer(edge_blend=1,num_points=283) | WatercolorTransformer(scale=0.85,style=monet)"
"330px-Higgins19","photo","A","",3,"FractalWarpTransformer(iter=1,scale=0.05) | MeltMorphTransformer(intensity=0.50) | RadialWarpTransformer(radius=0.25,strength=122.16318492462318,style=push)"
"330px-Nigerian_","photo","A","",2,"ColormapTransformer(map=jet) | WheelTransformer(blend=lighter,copies=4)"
"330px-Post-medi","photo","B","",1,"WheelTransformer(blend=add,copies=4)"
"330px-Silla_caí","photo","C","",2,"DataMoshTransformer(intensity=0.01) | WheelTransformer(blend=lighter,copies=5)"
"330px-Sommer__G","photo","A","",1,"HalftoneTransformer(size=2)"
"3_Trios_","photo","A","",3,"ChromaticAberrationTransformer(angle=60.60,edge_fade=1,shift=6.40) | PixelSortTransformer(direction=cols,high=0.71,low=0.07,sort_key=blue) | WheelTransformer(blend=add,copies=3)"
"47tuc_eder","photo","A","",2,"DataMoshTransformer(intensity=0.02) | FisheyeTransformer(shape=oval,strength=0.75,zoom=1.09)"
"4pm-analemma-nz","photo","A","",3,"ColormapTransformer(map=ocean) | PixelSortTransformer(direction=rows,high=0.80,low=0.18,sort_key=saturation) | PosterizationTransformer(levels=4)"
"500px-C01683","photo","A","",2,"DataMoshTransformer(intensity=0.01) | FisheyeTransformer(shape=circle,strength=0.70,zoom=1.02)"
"500px-Italiarre","photo","A","",3,"ChromaticAberrationTransformer(angle=95.90,edge_fade=1,shift=17.50) | FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01)"
"500px-New_flyov","photo","C","",3,"ColormapTransformer(map=cool) | HalftoneTransformer(size=2) | PixelSortTransformer(direction=cols,high=0.72,low=0.11,sort_key=blue)"
"500px-Oak_marbl","photo","A","",4,"DataMoshTransformer(intensity=0.02) | PosterizationTransformer(levels=4) | VoronoiTransformer(edge_blend=1,num_points=276) | WatercolorTransformer(scale=0.85,style=monet)"
"500px-Pennsylva","photo","A","",4,"ChromaticAberrationTransformer(angle=264.20,edge_fade=1,shift=14.90) | FractalWarpTransformer(iter=1,scale=0.05) | RadialWarpTransformer(radius=0.25,strength=82.32475162129543,128.31716258024608,style=push,pull) | VoronoiTransformer(edge_blend=1,num_points=195)"
"500px-Provand_s","photo","B","",1,"WheelTransformer(blend=add,copies=4)"
"500px-Ranabir_S","photo","A","",1,"WatercolorTransformer(scale=0.85,style=monet)"
"500px-South_Bos","photo","A","",4,"ChromaticAberrationTransformer(angle=229.90,edge_fade=1,shift=7.00) | FractalWarpTransformer(iter=1,scale=0.05) | HalftoneTransformer(size=2) | PosterizationTransformer(levels=4)"
"500px-Vigilien_","photo","C","",2,"SwirlWarpTransformer(strength=1.50) | WatercolorTransformer(scale=0.85,style=monet)"
"500px-민트페스타_vol","photo","A","",1,"PosterizationTransformer(levels=4)"
"960px-Cerro_Koi","photo","A","",3,"FisheyeTransformer(shape=circle,strength=0.56,zoom=1.04) | GlitchWarpTransformer(intensity=0.01) | SwirlWarpTransformer(strength=1.50)"
"960px-EDDI_06mn","photo","C","",4,"FisheyeTransformer(shape=oval,strength=0.33,zoom=0.96) | KaleidoscopeTransformer(cx_off=-0.12,cy_off=-0.02,segments=8) | SwirlWarpTransformer(strength=1.50) | ThermalImagingTransformer(thermal=True)"
"960px-L_Aguille","photo","A","",4,"DataMoshTransformer(intensity=0.01) | FisheyeTransformer(shape=circle,strength=0.57,zoom=1.01) | FractalWarpTransformer(iter=1,scale=0.05) | SwirlWarpTransformer(strength=1.50)"
"960px-Rene_raki","photo","A","",1,"WheelTransformer(blend=lighter,copies=5)"
"960px-Sulphur_S","photo","B","",3,"MeltMorphTransformer(intensity=0.50) | OilPaintingTransformer(dyn_ratio=3,size=3) | ThermalImagingTransformer(thermal=True)"
"960px-The_gener","photo","C","",1,"DataMoshTransformer(intensity=0.01)"
"ASE_McCarty3-3sc900","photo","F","",1,"HalftoneTransformer(size=2)"
"Ahmetvaleev_MG_7083","photo","C","",4,"DataMoshTransformer(intensity=0.01) | KaleidoscopeTransformer(cx_off=-0.09,cy_off=-0.09,segments=4) | VoronoiTransformer(edge_blend=1,num_points=116) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"AirglowFan_Lane","photo","A","",1,"SwirlWarpTransformer(strength=1.50)"
"Al_Kanda","photo","A","",2,"ColormapTransformer(map=bone) | FluidWarpTransformer(alpha=14.77,sigma=2.15)"
"Amanhece","photo","A","",2,"FluidWarpTransformer(alpha=1.55,sigma=5.15) | PosterizationTransformer(levels=4)"
"American","photo","C","",4,"HalftoneTransformer(size=2) | MeltMorphTransformer(intensity=0.50) | ThermalImagingTransformer(thermal=True) | WheelTransformer(blend=lighter,copies=4)"
"AndromedaGalaxy-SingleShotMina-4688-net1200","photo","C","",3,"DataMoshTransformer(intensity=0.02) | FlipWilsonTransformer(keep=top_right,narrow=0.28) | OilPaintingTransformer(dyn_ratio=5,size=6)"
"AnnularMontagev21024","photo","A","",3,"ChromaticAberrationTransformer(angle=233.30,edge_fade=1,shift=14.90) | ColormapTransformer(map=spring) | HalftoneTransformer(size=2)"
"AtlasParanal_Kurak","photo","A","",4,"HalftoneTransformer(size=2) | MeltMorphTransformer(intensity=0.50) | RadialWarpTransformer(radius=0.25,strength=49.230335426066304,style=pull) | ThermalImagingTransformer(thermal=True)"
"Attic_bl","photo","A","",4,"MeltMorphTransformer(intensity=0.50) | OilPaintingTransformer(dyn_ratio=8,size=6) | ThermalImagingTransformer(thermal=True) | VoronoiTransformer(edge_blend=1,num_points=86)"
"AuroraBackyardHeden","photo","A","",1,"ChromaticAberrationTransformer(angle=225.00,edge_fade=1,shift=9.30)"
"AuroraSnow_Casado","photo","A","",4,"DataMoshTransformer(intensity=0.01) | RadialWarpTransformer(radius=0.25,strength=80.28074235946085,121.29472646482114,style=push,pull) | ThermalImagingTransformer(thermal=True) | VoronoiTransformer(edge_blend=1,num_points=243)"
"Beef_spr","photo","A","",2,"FlipWilsonTransformer(keep=top_left,narrow=0.43) | OilPaintingTransformer(dyn_ratio=6,size=3)"
"BeyondEarth_Unknown","photo","B","",2,"ChromaticAberrationTransformer(angle=304.00,edge_fade=1,shift=14.10) | OilPaintingTransformer(dyn_ratio=8,size=8)"
"Biserica","photo","C","",4,"ColormapTransformer(map=autumn) | FisheyeTransformer(shape=oval,strength=0.71,zoom=1.01) | KaleidoscopeTransformer(cx_off=0.03,cy_off=0.04,segments=8) | WatercolorTransformer(scale=0.85,style=monet)"
"BubbleRed_Leader","photo","A","",4,"OilPaintingTransformer(dyn_ratio=3,size=6) | PosterizationTransformer(levels=4) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=193)"
"Bungalow","photo","A","",3,"FluidWarpTransformer(alpha=15.92,sigma=3.54) | MeltMorphTransformer(intensity=0.50) | RadialWarpTransformer(radius=0.25,strength=127.3984710595187,57.71111211077637,76.62719663053436,style=push,push,push)"
"C2020_F3_NEOWISE_2020_07_10_druckmuller1024","photo","C","",2,"MeltMorphTransformer(intensity=0.50) | PixelSortTransformer(direction=cols,high=0.82,low=0.20,sort_key=red)"
"C2020_V2_ZTF_CHILESCOPE_DEBartlett1024","photo","C","",4,"FluidWarpTransformer(alpha=0.84,sigma=5.40) | GlitchWarpTransformer(intensity=0.01) | MeltMorphTransformer(intensity=0.50) | RadialWarpTransformer(radius=0.25,strength=112.80179050554453,81.64622620961029,43.79194733495798,style=push,push,push)"
"CatsEye_HubblePohl","photo","A","",3,"FluidWarpTransformer(alpha=2.51,sigma=1.37) | GlitchWarpTransformer(intensity=0.01) | MeltMorphTransformer(intensity=0.50)"
"Charolai","photo","A","",1,"KaleidoscopeTransformer(cx_off=-0.04,cy_off=0.14,segments=8)"
"Cherney_TLE201807","photo","A","",1,"OilPaintingTransformer(dyn_ratio=6,size=4)"
"Chiesa_d","photo","B","",4,"ChromaticAberrationTransformer(angle=166.70,edge_fade=1,shift=5.40) | FlipWilsonTransformer(keep=right,narrow=0.42) | MeltMorphTransformer(intensity=0.50) | WatercolorTransformer(scale=0.85,style=monet)"
"ColombariNGC3199","photo","C","",3,"FractalWarpTransformer(iter=1,scale=0.05) | KaleidoscopeTransformer(cx_off=0.13,cy_off=0.09,segments=12) | VoronoiTransformer(edge_blend=1,num_points=144)"
"CometA3Dolomites_Masi","photo","A","",2,"ChromaticAberrationTransformer(angle=114.20,edge_fade=1,shift=4.50) | DataMoshTransformer(intensity=0.02)"
"Croix_du","photo","A","",3,"FlipWilsonTransformer(keep=top_right,narrow=0.31) | PosterizationTransformer(levels=4) | SwirlWarpTransformer(strength=1.50)"
"Cseke_fe","photo","B","",3,"DataMoshTransformer(intensity=0.01) | FractalWarpTransformer(iter=1,scale=0.05) | ThermalImagingTransformer(thermal=True)"
"Cutlers_","photo","C","",1,"PosterizationTransformer(levels=4)"
"CygWideHa-OIIIBiColorImage2_crop2","photo","A","",4,"FlipWilsonTransformer(keep=top,narrow=0.46) | FractalWarpTransformer(iter=1,scale=0.05) | StippleTransformer(bg=white,dot_radius=4,jitter=1,spacing=12) | VoronoiTransformer(edge_blend=1,num_points=290)"
"DSC02213","photo","A","",4,"ColormapTransformer(map=bone) | FlipWilsonTransformer(keep=bottom_left,narrow=0.48) | FluidWarpTransformer(alpha=9.34,sigma=1.79) | KaleidoscopeTransformer(cx_off=-0.04,cy_off=0.03,segments=8)"
"DSC05293-mark700","photo","A","",2,"ColormapTransformer(map=autumn) | FractalWarpTransformer(iter=1,scale=0.05)"
"Deskohra","photo","A","",4,"FisheyeTransformer(shape=oval,strength=0.26,zoom=1.04) | FluidWarpTransformer(alpha=2.97,sigma=1.55) | StippleTransformer(bg=black,dot_radius=6,jitter=1,spacing=20) | SwirlWarpTransformer(strength=1.50)"
"Discovery_Smithsonian_VABcooper900","photo","A","",4,"DataMoshTransformer(intensity=0.02) | FisheyeTransformer(shape=oval,strength=0.52,zoom=1.11) | MeltMorphTransformer(intensity=0.50) | OilPaintingTransformer(dyn_ratio=7,size=5)"
"Dix_pièc","photo","B","",2,"KaleidoscopeTransformer(cx_off=0.04,cy_off=0.12,segments=4) | SwirlWarpTransformer(strength=1.50)"
"EagleRay_Chander","photo","C","",4,"FisheyeTransformer(shape=oval,strength=0.80,zoom=0.86) | FlipWilsonTransformer(keep=top_left,narrow=0.38) | KaleidoscopeTransformer(cx_off=-0.06,cy_off=-0.15,segments=8) | VoronoiTransformer(edge_blend=1,num_points=138)"
"Epitaaf_","photo","B","",1,"RadialWarpTransformer(radius=0.25,strength=131.09450542915403,86.88201540766215,102.59509007207004,style=push,pull,push)"
"Fermi3month_labeled_c900","photo","A","",3,"ColormapTransformer(map=summer) | OilPaintingTransformer(dyn_ratio=3,size=6) | WheelTransformer(blend=normal,copies=3)"
"FijiMoonsetWangJin1060","photo","A","",3,"ColormapTransformer(map=rainbow) | DataMoshTransformer(intensity=0.01) | FisheyeTransformer(shape=circle,strength=0.43,zoom=1.10)"
"FlemingsTriangle_Saab","photo","A","",1,"ThermalImagingTransformer(thermal=True)"
"Former_C","photo","A","",1,"PosterizationTransformer(levels=4)"
"Fragment","photo","A","",2,"ChromaticAberrationTransformer(angle=61.20,edge_fade=1,shift=10.10) | MeltMorphTransformer(intensity=0.50)"
"FvfBusto","photo","A","",2,"GlitchWarpTransformer(intensity=0.01) | KaleidoscopeTransformer(cx_off=0.17,cy_off=-0.18,segments=8)"
"G-BADZ","photo","A","",4,"ChromaticAberrationTransformer(angle=277.80,edge_fade=1,shift=12.80) | FlipWilsonTransformer(keep=bottom_right,narrow=0.46) | FractalWarpTransformer(iter=1,scale=0.05) | VoronoiTransformer(edge_blend=1,num_points=107)"
"Gas_stas","photo","F","",3,"HalftoneTransformer(size=2) | StippleTransformer(bg=black,dot_radius=6,jitter=1,spacing=17) | VoronoiTransformer(edge_blend=1,num_points=92)"
"Geminid2009_pacholka850wp","photo","C","",2,"KaleidoscopeTransformer(cx_off=0.04,cy_off=-0.13,segments=4) | VoronoiTransformer(edge_blend=1,num_points=234)"
"GeminidAurora_Hansen1","photo","A","",4,"KaleidoscopeTransformer(cx_off=0.07,cy_off=0.08,segments=6) | PosterizationTransformer(levels=4) | RadialWarpTransformer(radius=0.25,strength=136.4250192680733,style=push) | WheelTransformer(blend=add,copies=3)"
"Geschich","photo","C","",2,"PosterizationTransformer(levels=4) | ThermalImagingTransformer(thermal=True)"
"GhostNebula_Jarzyna","photo","A","",3,"HalftoneTransformer(size=2) | PosterizationTransformer(levels=4) | SwirlWarpTransformer(strength=1.50)"
"GianniTumino_SturgeonMoon_Palette_JPG_LOGO","photo","A","",1,"WheelTransformer(blend=lighter,copies=4)"
"GreatComet1680_verschuier","photo","F","",3,"ChromaticAberrationTransformer(angle=341.10,edge_fade=1,shift=8.50) | FluidWarpTransformer(alpha=3.47,sigma=7.77) | KaleidoscopeTransformer(cx_off=-0.04,cy_off=0.03,segments=4)"
"Guisard_MilkyWay_4_8bit_dse_1500-ps12_h600","photo","A","",1,"DataMoshTransformer(intensity=0.01)"
"Halpha_sondergaard1024","photo","A","",2,"ChromaticAberrationTransformer(angle=14.30,edge_fade=1,shift=16.40) | KaleidoscopeTransformer(cx_off=0.01,cy_off=0.09,segments=8)"
"HelixGoldmanSmall","photo","A","",2,"GlitchWarpTransformer(intensity=0.01) | PosterizationTransformer(levels=4)"
"HorseheadIr_HubbleNachman","photo","A","",2,"GlitchWarpTransformer(intensity=0.01) | SwirlWarpTransformer(strength=1.50)"
"Hyperbol","photo","A","",4,"FluidWarpTransformer(alpha=8.10,sigma=5.48) | MeltMorphTransformer(intensity=0.50) | PosterizationTransformer(levels=4) | RadialWarpTransformer(radius=0.25,strength=132.34372751134674,103.01651115919726,style=push,push)"
"IC2177Seagull_boren900","photo","B","",3,"ColormapTransformer(map=hot) | FractalWarpTransformer(iter=1,scale=0.05) | WheelTransformer(blend=add,copies=5)"
"IC2944_Filas","photo","A","",1,"ChromaticAberrationTransformer(angle=168.40,edge_fade=1,shift=14.40)"
"IC434NM900","photo","A","",4,"ChromaticAberrationTransformer(angle=193.40,edge_fade=1,shift=4.90) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=monet) | WheelTransformer(blend=lighter,copies=4)"
"IC434NM900","photo","C","",2,"FisheyeTransformer(shape=oval,strength=0.21,zoom=1.13) | HalftoneTransformer(size=2)"
"IC4592_andreo900","photo","C","",2,"FlipWilsonTransformer(keep=bottom_left,narrow=0.26) | WheelTransformer(blend=normal,copies=3)"
"IMG_20250813_202125v1","photo","A","",2,"PixelSortTransformer(direction=cols,high=0.80,low=0.35,sort_key=brightness) | ThermalImagingTransformer(thermal=True)"
"INT._OVE","photo","A","",3,"OilPaintingTransformer(dyn_ratio=4,size=5) | PixelSortTransformer(direction=cols,high=0.56,low=0.10,sort_key=saturation) | RadialWarpTransformer(radius=0.25,strength=116.30174313684297,87.38755341422996,style=push,pull)"
"ISS044","photo","C","C",1,"HalftoneTransformer(size=2)"
"ISS057","photo","F","F",4,"ChromaticAberrationTransformer(angle=244.60,edge_fade=1,shift=8.10) | FluidWarpTransformer(alpha=11.64,sigma=6.60) | OilPaintingTransformer(dyn_ratio=7,size=6) | SwirlWarpTransformer(strength=1.50)"
"ISS063","photo","A","A",1,"SwirlWarpTransformer(strength=1.50)"
"ISS065","photo","B","B",3,"FisheyeTransformer(shape=circle,strength=0.21,zoom=1.05) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"ISS4panelMar28Addis1024","photo","A","",2,"DataMoshTransformer(intensity=0.02) | FractalWarpTransformer(iter=1,scale=0.05)"
"ISSLunarTransit_morana_f","photo","A","",3,"RadialWarpTransformer(radius=0.25,strength=52.5867207257767,style=pull) | VoronoiTransformer(edge_blend=1,num_points=123) | WheelTransformer(blend=normal,copies=3)"
"Interior","photo","A","",3,"ColormapTransformer(map=summer) | PosterizationTransformer(levels=4) | WatercolorTransformer(scale=0.85,style=monet)"
"InvertedFullMoon_barrett_c1","photo","B","",3,"MeltMorphTransformer(intensity=0.50) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=316)"
"IssSunspot_Letian","photo","C","",3,"ChromaticAberrationTransformer(angle=14.00,edge_fade=1,shift=9.80) | DataMoshTransformer(intensity=0.02) | KaleidoscopeTransformer(cx_off=0.10,cy_off=-0.04,segments=8)"
"J1-_jour","photo","A","",3,"DataMoshTransformer(intensity=0.01) | FractalWarpTransformer(iter=1,scale=0.05) | KaleidoscopeTransformer(cx_off=-0.06,cy_off=0.16,segments=6)"
"JupiterMarble_JunoGill","photo","F","",2,"ChromaticAberrationTransformer(angle=98.40,edge_fade=1,shift=14.70) | FisheyeTransformer(shape=circle,strength=0.77,zoom=1.12)"
"JupiterVenus_Luy","photo","A","",2,"HalftoneTransformer(size=2) | ThermalImagingTransformer(thermal=True)"
"JwstLaunch_Arianespace","photo","A","",3,"OilPaintingTransformer(dyn_ratio=2,size=4) | PosterizationTransformer(levels=4) | WheelTransformer(blend=lighter,copies=3)"
"JwstLaunch_Arianespace","photo","C","",2,"GlitchWarpTransformer(intensity=0.01) | ThermalImagingTransformer(thermal=True)"
"Khana_Mi","photo","A","",1,"SwirlWarpTransformer(strength=1.50)"
"Kirche_G","photo","A","",3,"HalftoneTransformer(size=2) | WatercolorTransformer(scale=0.85,style=psychedelic) | WheelTransformer(blend=lighter,copies=3)"
"Knäremma","photo","A","",2,"ColormapTransformer(map=bone) | MeltMorphTransformer(intensity=0.50)"
"Konstnär","photo","A","",1,"FractalWarpTransformer(iter=1,scale=0.05)"
"Kost__ruins","photo","A","",2,"ChromaticAberrationTransformer(angle=54.80,edge_fade=1,shift=12.00) | FractalWarpTransformer(iter=1,scale=0.05)"
"LDN1773-Jupiter","photo","B","",4,"GlitchWarpTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=3,size=8) | ThermalImagingTransformer(thermal=True) | VoronoiTransformer(edge_blend=1,num_points=283)"
"LMC_gleason_950c","photo","A","",1,"WheelTransformer(blend=lighter,copies=5)"
"LRGBHa23_n7331r_800c","photo","A","",3,"ColormapTransformer(map=summer) | KaleidoscopeTransformer(cx_off=-0.10,cy_off=-0.12,segments=4) | SwirlWarpTransformer(strength=1.50)"
"LagoonStarFree_Dhar","photo","B","",2,"OilPaintingTransformer(dyn_ratio=6,size=4) | RadialWarpTransformer(radius=0.25,strength=37.16374718597959,81.37421354357329,71.63819323278565,style=pull,pull,push)"
"LarsMilkyWay_Larnaout","photo","C","",3,"MeltMorphTransformer(intensity=0.50) | WatercolorTransformer(scale=0.85,style=psychedelic) | WheelTransformer(blend=normal,copies=3)"
"LemmonPeak_Barsa","photo","A","",3,"ChromaticAberrationTransformer(angle=117.10,edge_fade=1,shift=8.00) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=monet)"
"Lercheng","photo","A","",3,"ChromaticAberrationTransformer(angle=271.50,edge_fade=1,shift=16.00) | RadialWarpTransformer(radius=0.25,strength=112.07054624593067,106.02840039792069,38.19802633096302,style=pull,push,pull) | SwirlWarpTransformer(strength=1.50)"
"Lletres_","photo","A","",2,"FisheyeTransformer(shape=oval,strength=0.41,zoom=1.12) | PosterizationTransformer(levels=4)"
"Long_Mea","photo","C","",2,"FisheyeTransformer(shape=oval,strength=0.43,zoom=0.93) | HalftoneTransformer(size=2)"
"LoughEske2_alexander900","photo","C","",3,"ChromaticAberrationTransformer(angle=111.70,edge_fade=1,shift=8.20) | DataMoshTransformer(intensity=0.01) | VoronoiTransformer(edge_blend=1,num_points=266)"
"LunarEclipseCologne_Junius","photo","A","",2,"ChromaticAberrationTransformer(angle=185.60,edge_fade=1,shift=6.00) | GlitchWarpTransformer(intensity=0.01)"
"M015-2_Hubl1024","photo","C","",4,"HalftoneTransformer(size=2) | PixelSortTransformer(direction=rows,high=0.73,low=0.24,sort_key=green) | PosterizationTransformer(levels=4) | WatercolorTransformer(scale=0.85,style=monet)"
"M27Subaru_colombari1024_q100_watermark","photo","A","",2,"FisheyeTransformer(shape=oval,strength=0.30,zoom=0.93) | WatercolorTransformer(scale=0.85,style=monet)"
"M31_HubbleSpitzerGendler","photo","F","",4,"ChromaticAberrationTransformer(angle=331.60,edge_fade=1,shift=14.30) | HalftoneTransformer(size=2) | KaleidoscopeTransformer(cx_off=-0.07,cy_off=0.16,segments=8) | StippleTransformer(bg=black,dot_radius=2,jitter=1,spacing=6)"
"M42Detailed_DrudisGoldman","photo","A","",4,"FlipWilsonTransformer(keep=top_left,narrow=0.31) | FractalWarpTransformer(iter=1,scale=0.05) | KaleidoscopeTransformer(cx_off=0.08,cy_off=-0.13,segments=12) | PosterizationTransformer(levels=4)"
"M42Detailed_DrudisGoldman","photo","A","",4,"FluidWarpTransformer(alpha=18.62,sigma=5.62) | GlitchWarpTransformer(intensity=0.01) | HalftoneTransformer(size=2) | MeltMorphTransformer(intensity=0.50)"
"M61_HubbleEsoGendler","photo","C","",1,"FractalWarpTransformer(iter=1,scale=0.05)"
"M64_RC_tamanti_c800","photo","A","",4,"FlipWilsonTransformer(keep=right,narrow=0.21) | FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01) | VoronoiTransformer(edge_blend=1,num_points=283)"
"M78_Tiziano","photo","A","",2,"ColormapTransformer(map=winter) | RadialWarpTransformer(radius=0.25,strength=67.02283744410532,134.42548834240966,style=pull,push)"
"M78_messner_cr","photo","C","",4,"ChromaticAberrationTransformer(angle=31.30,edge_fade=1,shift=4.60) | HalftoneTransformer(size=2) | KaleidoscopeTransformer(cx_off=-0.08,cy_off=-0.09,segments=4) | SwirlWarpTransformer(strength=1.50)"
"M81-82","photo","A","",2,"HalftoneTransformer(size=2) | WatercolorTransformer(scale=0.85,style=monet)"
"MEDUSA_NEBULA_FINAL_BRS_SIGNED1024","photo","A","",1,"VoronoiTransformer(edge_blend=1,num_points=281)"
"MKMilkyWaypan_pacholka_600WPAP","photo","A","",1,"ColormapTransformer(map=ocean)"
"MKMilkyWaypan_pacholka_600WPAP","photo","A","",2,"FlipWilsonTransformer(keep=bottom_left,narrow=0.26) | WheelTransformer(blend=normal,copies=3)"
"MWAurora_hang","photo","A","",4,"ColormapTransformer(map=summer) | PixelSortTransformer(direction=cols,high=0.68,low=0.20,sort_key=brightness) | WatercolorTransformer(scale=0.85,style=psychedelic) | WheelTransformer(blend=lighter,copies=4)"
"MammatusRushmore_Mattuzzi","photo","C","",3,"DataMoshTransformer(intensity=0.01) | KaleidoscopeTransformer(cx_off=-0.19,cy_off=-0.19,segments=8) | PixelSortTransformer(direction=rows,high=0.72,low=0.12,sort_key=saturation)"
