52,5.74
56,4.35
58,5.25
61,3.08
67,4.57
74,3.79
80,2.48
83,2.84
83,3.08
84,0.87
85,8.47
98,8.33
100,4.86
102,8.59
109,1.66
119,0.43
119,0.64
120,4.77
121,9.80
129,3.40
130,5.29
131,0.87
131,4.43
142,6.26
148,1.45
152,5.86
160,7.35
163,3.87
167,4.13
170,3.31
177,7.99
180,8.02
182,2.45
183,6.55
184,4.60
187,2.06
188,1.18
192,4.50
194,2.04
194,6.82
197,6.22
207,3.28
209,6.44
210,8.98
212,2.68
212,6.65
215,7.70
217,2.65
218,6.00
220,5.64
222,4.43
226,3.71
228,3.11
229,4.38
233,6.84
234,4.07
236,4.12
247,5.48
247,7.01
250,5.99
253,2.40
257,9.02
260,5.23
262,3.60
263,3.13
263,8.22
270,2.25
273,3.57
273,3.90
279,6.74
282,4.13
285,2.57
286,3.16
288,6.10
289,0.82
291,9.89
299,2.27
299,6.40
310,3.07
314,8.40
319,6.81
325,1.67
328,9.01
329,5.56
332,6.92
334,3.74
335,1.47
338,1.46
347,7.43
348,6.31
352,2.78
354,2.22
356,6.08
358,2.59
359,5.56
362,8.42
363,1.46
364,1.63
367,4.23
377,9.53
378,1.55
380,9.67
381,3.80
382,3.19
384,6.38
387,6.56
390,5.82
396,5.18
397,3.28
398,4.55
399,9.61
400,6.34
412,4.33
412,5.62
418,2.48
420,9.04
421,4.52
428,6.95
429,3.08
430,3.40
430,7.70
431,1.87
435,0.74
435,5.98
435,7.67
435,9.47
437,4.95
438,1.48
439,3.62
440,4.09
440,8.41
450,9.13
463,0.35
464,9.17
465,9.31
469,2.33
475,0.95
480,9.25
481,1.86
482,8.74
483,4.42
483,5.49
489,8.77
490,7.30
492,4.65
494,7.79
494,8.69
496,5.73
499,2.28
503,9.18
507,6.63
508,1.31
509,5.96
510,2.24
512,5.08
515,9.18
516,2.77
517,4.89
517,8.25
518,1.10
518,5.56
520,9.46
525,4.94
538,2.07
542,4.97
543,3.18
543,7.99
545,6.33
546,9.66
547,1.40
554,2.25
56,10.40
567,0.69
568,3.73
571,4.78
571,8.86
57,21.23
577,4.08
581,3.47
581,9.17
585,2.89
586,4.01
588,4.04
589,8.21
592,4.93
595,7.62
596,5.27
600,8.63
601,5.92
606,4.43
607,1.64
612,0.60
614,2.43
616,7.51
620,6.72
626,7.59
627,7.38
633,1.42
633,4.79
634,4.13
639,0.45
639,4.50
643,8.52
654,0.66
663,7.79
667,4.82
675,7.91
675,9.53
677,6.23
677,9.29
678,2.56
679,2.34
680,1.86
684,9.63
685,6.91
689,1.88
689,4.48
690,3.78
690,6.36
694,0.58
694,5.47
694,8.85
698,1.19
701,1.60
704,3.61
706,1.19
707,3.40
707,3.61
713,4.10
713,8.42
713,9.30
714,1.03
714,4.05
715,9.61
72,12.63
725,5.11
729,3.51
730,2.18
731,4.51
731,8.10
734,1.37
735,5.25
736,9.97
737,9.43
739,4.72
748,5.94
760,3.08
763,4.34
766,7.69
767,2.55
767,9.26
768,1.87
768,2.13
769,1.28
772,9.30
779,9.45
78,13.28
781,4.44
782,8.40
783,7.41
784,8.97
784,9.92
788,8.50
789,4.40
796,5.43
799,5.96
803,2.26
808,5.52
812,5.98
812,8.23
814,2.07
816,5.23
818,0.49
828,7.42
830,2.27
831,9.31
833,6.79
833,8.56
834,6.93
835,3.85
840,5.19
841,1.94
841,9.21
844,2.99
847,1.72
847,5.68
847,8.40
849,3.96
849,9.87
855,4.77
859,5.40
864,5.78
865,7.04
865,9.23
879,3.76
884,1.04
884,4.16
888,1.05
90,13.27
905,1.45
909,1.36
909,7.96
91,17.70
913,1.89
915,3.61
920,2.56
921,2.27
921,3.64
922,6.27
923,6.10
927,8.43
931,9.28
939,2.56
940,1.69
944,5.46
945,9.52
951,8.49
952,8.69
958,3.87
959,7.84
960,1.67
960,9.52
962,5.55
964,7.68
965,9.16
966,8.39
971,8.94
972,7.49
972,8.78
974,9.38
975,8.90
976,6.11
977,4.34
979,6.61
979,6.77
980,0.77
98,10.46
990,0.48
991,3.01
998,3.54
1004,1.18
1005,2.11
1005,5.00
1015,8.07
1016,7.33
1023,4.70
1026,1.90
1027,7.43
1032,8.51
1033,1.39
1033,4.50
1034,6.36
1037,4.07
1037,7.40
104,10.32
1043,3.21
1046,2.30
1050,7.09
1051,4.89
1051,6.53
105,21.11
1053,6.47
1058,8.92
1063,2.40
1064,3.85
1073,2.67
1073,8.14
1076,9.75
1077,4.33
1081,2.36
1084,8.39
1089,5.19
1092,6.76
1093,9.54
1094,4.78
1097,4.31
1098,1.59
1102,4.51
1102,9.87
1104,5.19
111,15.07
1116,7.49
1121,9.80
1122,2.65
1122,3.22
1123,4.44
1123,6.26
1127,8.20
1134,6.40
1134,7.29
1137,4.61
1137,5.31
1140,8.77
1140,9.47
1141,9.54
1142,5.44
1144,7.32
